title;genre;distributor;year
Civic Duty;Thriller-or-Suspense;Freestyle Releasing;2007
Revolver;Thriller-or-Suspense;Samuel Goldwyn Films;2007
Le Doulos;Thriller-or-Suspense;Rialto Pictures;2007
Right at Your Door;Thriller-or-Suspense;Lionsgate;2007
Diva;Thriller-or-Suspense;MGM;1982
Hak se wui yi wo wai kwai;Thriller-or-Suspense;Tartan Films;2007
The Situation;Thriller-or-Suspense;Shadow;2007
Ils;Thriller-or-Suspense;Slowhand Cinema;2007
Arnolds Park;Thriller-or-Suspense;The Movie Partners;2007
Chacun sa nuit;Thriller-or-Suspense;Strand;2007
The Dead Girl;Thriller-or-Suspense;First Look;2006
El Aura;Thriller-or-Suspense;IFC Films;2006
Descent;Thriller-or-Suspense;City Lights Pictures;2007
Alone with Her;Thriller-or-Suspense;IFC Films;2007
Splinter;Thriller-or-Suspense;Magic Lamp;2007
If I Didn't Care;Thriller-or-Suspense;Artistic License;2007
Ten 'Til Noon;Thriller-or-Suspense;Radio London Films;2007
Imprint;Thriller-or-Suspense;Linn Productions;2007
La Demoiselle d'honneur;Thriller-or-Suspense;First Run Features;2006
Crónica de una fuga;Thriller-or-Suspense;IFC Films;2007
Mem-o-re;Thriller-or-Suspense;Aloha Releasing;2007
Moonlight;Thriller-or-Suspense;Indican Pictures;2006
Eagle Eye;Thriller-or-Suspense;Paramount Pictures;2008
21;Thriller-or-Suspense;Sony Pictures;2008
Vantage Point;Thriller-or-Suspense;Sony Pictures;2008
The Happening;Thriller-or-Suspense;20th Century Fox;2008
Valkyrie;Thriller-or-Suspense;United Artists;2008
The Strangers;Thriller-or-Suspense;Focus Features;2008
Righteous Kill;Thriller-or-Suspense;Overture Films;2008
Body of Lies;Thriller-or-Suspense;Warner Bros.;2008
Lakeview Terrace;Thriller-or-Suspense;Sony Pictures;2008
Changeling;Thriller-or-Suspense;Universal;2008
The Bank Job;Thriller-or-Suspense;Lionsgate;2008
Untraceable;Thriller-or-Suspense;Sony Pictures;2008
Street Kings;Thriller-or-Suspense;Fox Searchlight;2008
Traitor;Thriller-or-Suspense;Overture Films;2008
88 Minutes;Thriller-or-Suspense;Sony Pictures;2008
Ne le dis à personne;Thriller-or-Suspense;Music Box Films;2008
Deception;Thriller-or-Suspense;20th Century Fox;2008
Blindness;Thriller-or-Suspense;Miramax;2008
Transsiberian;Thriller-or-Suspense;First Look;2008
Ghajini;Thriller-or-Suspense;AdLab Films;2008
Funny Games;Thriller-or-Suspense;Warner Independent;2008
Nobel Son;Thriller-or-Suspense;Freestyle Releasing;2008
La fille coupée en deux;Thriller-or-Suspense;IFC Films;2008
Le piège américain;Thriller-or-Suspense;;2008
Blade Runner;Thriller-or-Suspense;Warner Bros.;1982
Kidnap;Thriller-or-Suspense;Studio 18;2008
Passengers;Thriller-or-Suspense;Sony Pictures;2008
