title;genre;distributor;year
La Ciénaga;Comedy;;2001
Together;Comedy;IFC Films;2001
All the Queen's Men;Comedy;Strand;2002
The Princess Diaries;Comedy;Walt Disney;2001
30 Years to Life;Comedy;;2002
The Mesmerist;Comedy;;2002
The Next Big Thing;Comedy;;2002
Zoolander;Comedy;Paramount Pictures;2001
La Bûche;Comedy;Empire Pictures;2000
The Phantom of Liberty;Comedy;;2002
The Wetonkawa Flash;Comedy;Indican Pictures;2002
Drôle de Félix;Comedy;WinStar Cinema;2001
Secret Society;Comedy;;2002
The 4th Tenor;Comedy;;2002
Dead or Alive;Comedy;;2002
Besotted;Comedy;Artistic License;2002
Hit & Runway;Comedy;;2001
Bruce Almighty;Comedy;Universal;2003
Elf;Comedy;New Line;2003
Anger Management;Comedy;Sony Pictures;2003
Bringing Down the House;Comedy;Walt Disney;2003
Freaky Friday;Comedy;Walt Disney;2003
Scary Movie 3;Comedy;Miramax/Dimension;2003
American Wedding;Comedy;Universal;2003
Daddy Day Care;Comedy;Sony Pictures;2003
Legally Blonde 2: Red, White & Blonde;Comedy;MGM;2003
Cheaper by the Dozen;Comedy;20th Century Fox;2003
School of Rock;Comedy;Paramount Pictures;2003
Old School;Comedy;Dreamworks SKG;2003
Under the Tuscan Sun;Comedy;Walt Disney;2003
Head of State;Comedy;Dreamworks SKG;2003
Uptown Girls;Comedy;MGM;2003
Matchstick Men;Comedy;Warner Bros.;2003
What a Girl Wants;Comedy;Warner Bros.;2003
Malibu's Most Wanted;Comedy;Warner Bros.;2003
Bend it Like Beckham;Comedy;Fox Searchlight;2003
Stuck On You;Comedy;20th Century Fox;2003
The Fighting Temptations;Comedy;Paramount Pictures;2003
Dumb and Dumberer: When Harry Met Lloyd;Comedy;New Line;2003
Dickie Roberts: Former Child Star;Comedy;Paramount Pictures;2003
The In-Laws;Comedy;Warner Bros.;2003
A Mighty Wind;Comedy;Warner Bros.;2003
Adaptation;Comedy;Sony Pictures;2002
View from the Top;Comedy;Miramax;2003
Mambo Italiano;Comedy;Goldwyn Entertainment;2003
Le Divorce;Comedy;Fox Searchlight;2003
Drumline;Comedy;20th Century Fox;2002
Boat Trip;Comedy;Artisan;2003
La Grande Seduction;Comedy;Odeon Films;2003
It Runs in the Family;Comedy;MGM;2003
Calendar Girls;Comedy;Walt Disney;2003
Chasing Papi;Comedy;20th Century Fox;2003
The Hot Chick;Comedy;Walt Disney;2002
The Guru;Comedy;Universal;2003
Pieces of April;Comedy;MGM;2003
Marci X;Comedy;Paramount Pictures;2003
Camp;Comedy;IFC Films;2003
Analyze That;Comedy;Warner Bros.;2002
Bubba Ho-Tep;Comedy;Vitagraph Films;2003
Sweet Home Alabama;Comedy;Walt Disney;2002
The R.M.;Comedy;Halestone;2003
The Man Without a Past;Comedy;Sony Pictures Classics;2003
Party Monster;Comedy;ContentFilm;2003
Friday After Next;Comedy;New Line;2002
Pere et Fils;Comedy;Odeon Films;2003
Barbershop;Comedy;MGM;2002
Real Women Have Curves;Comedy;Newmarket Films;2002
Manna From Heaven;Comedy;Five Sisters Productions;2002
Buffalo Soldiers;Comedy;Miramax;2003
The Lawless Heart;Comedy;;2003
The Singing Detective;Comedy;Paramount Pictures;2003
The Trip;Comedy;;2003
Annie Brocoli dans les fonds marins;Comedy;;2003
The Battle of Shaker Heights;Comedy;Miramax;2003
Foolproof;Comedy;;2003
Charly;Comedy;Excel Entertainment;2002
Chaos;Comedy;New Yorker;2003
Sordid Lives;Comedy;Regent Releasing;2001
Pride and Prejudice;Comedy;Excel Entertainment;2003
Bon Voyage!;Comedy;Walt Disney;1962
Super Sucker;Comedy;;2003
Ek Aur Ek Gyarah;Comedy;Eros Entertainment;2003
Green Card Fever;Comedy;;2003
Almost Salinas;Comedy;;2003
A Woman is a Woman;Comedy;;2003
Igby Goes Down;Comedy;MGM;2002
Babí léto;Comedy;First Look;2003
30 Years to Life;Comedy;;2002
Tadpole;Comedy;Miramax;2002
Modern Times;Comedy;Kino International;1936
Monty Python and the Holy Grail;Comedy;;1975
The Sea;Comedy;;2003
The Man from Elysian Fields;Comedy;Samuel Goldwyn Films;2002
Hotel;Comedy;;2003
