title;genre;distributor;year
Taepung;Action;Paramount Vantage;2006
Renaissance;Action;Miramax;2006
Beowulf & Grendel;Action;Truly Indie;2006
Azumi;Action;Vitagraph Films;2006
Grip: A Criminal's Story;Action;JeTi Films;2006
In Her Line of Fire;Action;Regent Releasing;2006
Transformers;Action;Paramount Pictures;2007
300;Action;Warner Bros.;2007
Rush Hour 3;Action;New Line;2007
Live Free or Die Hard;Action;NCM Fathom;2007
Fantastic Four: Rise of the Silver Surfer;Action;20th Century Fox;2007
Ghost Rider;Action;Sony Pictures;2007
TMNT;Action;Warner Bros.;2007
The Kingdom;Action;Universal;2007
No Country for Old Men;Action;Miramax;2007
Hitman;Action;20th Century Fox;2007
Aliens vs. Predator - Requiem;Action;20th Century Fox;2007
We Own the Night;Action;Sony Pictures;2007
War;Action;Lionsgate;2007
Blood Diamond;Action;Warner Bros.;2006
Next;Action;Paramount Pictures;2007
Casino Royale;Action;Sony Pictures;2006
Shoot 'Em Up;Action;New Line;2007
Dragon Wars: D-War;Action;Freestyle Releasing;2007
Pathfinder;Action;20th Century Fox;2007
Death Sentence;Action;20th Century Fox;2007
Apocalypto;Action;Walt Disney;2006
The Condemned;Action;Lionsgate;2007
Redline;Action;Chicago Releasing;2007
The Last Legion;Action;Weinstein/Dimension;2007
Aqua Teen Hunger Force Colon Movie Film for Theaters;Action;First Look;2007
Rescue Dawn;Action;MGM;2007
Man cheng jin dai huang jin jia;Action;Sony Pictures Classics;2006
Ladron que roba a ladron;Action;Lionsgate;2007
Nitro;Action;Alliance Atlantis;2007
Gwoemul;Action;Magnolia Pictures;2007
Eklavya - The Royal Guard;Action;Eros Entertainment;2007
The Hunting Party;Action;Weinstein Co.;2007
DOA: Dead or Alive;Action;Weinstein/Dimension;2007
Dnevnoy dozor;Action;Fox Searchlight;2007
Fah talai jone;Action;Magnolia Pictures;2007
The Marine;Action;20th Century Fox;2006
Fong juk;Action;Magnolia Pictures;2007
Dhoom 2;Action;Yash Raj Films;2006
Middonaito Îguru;Action;Strand;2007
Tekkon Kinkreet;Action;;2007
Khon fai bin;Action;Magnolia Pictures;2007
The Dark Knight;Action;Warner Bros.;2008
Hancock;Action;Sony Pictures;2008
Quantum of Solace;Action;Sony Pictures;2008
Wanted;Action;Universal;2008
Cloverfield;Action;Paramount Pictures;2008
Hellboy II: The Golden Army;Action;Universal;2008
The Forbidden Kingdom;Action;Lionsgate;2008
Speed Racer;Action;Warner Bros.;2008
Rambo;Action;Lionsgate;2008
Max Payne;Action;20th Century Fox;2008
Death Race;Action;Universal;2008
Transporter 3;Action;Lionsgate;2008
No Country for Old Men;Action;Miramax;2007
Never Back Down;Action;Summit Entertainment;2008
Babylon A.D.;Action;20th Century Fox;2008
The X-Files: I Want to Believe;Action;20th Century Fox;2008
The Spirit;Action;Lionsgate;2008
Bangkok Dangerous;Action;Lionsgate;2008
Aliens vs. Predator - Requiem;Action;20th Century Fox;2007
Doomsday;Action;Universal;2008
Punisher: War Zone;Action;Lionsgate;2008
RocknRolla;Action;Warner Bros.;2008
In the Name of the King: A Dungeon Siege Tale;Action;Freestyle Releasing;2008
Singh is Kinng;Action;Studio 18;2008
Redbelt;Action;Sony Pictures Classics;2008
Race;Action;UTV Communications;2008
Tashan;Action;Yash Raj Films;2008
Hitman;Action;20th Century Fox;2007
OSS 117: Le Caire, nid d'espions;Action;Music Box Films;2008
Hell Ride;Action;Weinstein Co.;2008
Ashes of Time;Action;;1996
Beaufort;Action;Kino International;2008
Sukiyaki Western Django;Action;First Look;2008
Tropa de Elite;Action;IFC Films;2008
Vexille;Action;The Bigger Picture;2008
Flash Point;Action;Third Rail;2008
Transformers: Revenge of the Fallen;Action;Paramount Pictures;2009
Avatar;Action;20th Century Fox;2009
X-Men Origins: Wolverine;Action;20th Century Fox;2009
2012;Action;Sony Pictures;2009
Fast & Furious;Action;Universal;2009
G.I. Joe: The Rise of Cobra;Action;Paramount Pictures;2009
Terminator Salvation;Action;Warner Bros.;2009
Inglourious Basterds;Action;Weinstein Co.;2009
Watchmen;Action;Warner Bros.;2009
The Taking of Pelham 123;Action;Sony Pictures;2009
Underworld 3: Rise of the Lycans;Action;Sony Pictures;2009
Surrogates;Action;Walt Disney;2009
Ninja Assassin;Action;Warner Bros.;2009
Fighting;Action;Universal;2009
Gamer;Action;Lionsgate;2009
Cirque du Freak: The Vampire's Assistant;Action;Universal;2009
12 Rounds;Action;20th Century Fox;2009
The Boondock Saints 2: All Saints Day;Action;Apparition;2009
Street Fighter: The Legend of Chun-Li;Action;20th Century Fox;2009
Quantum of Solace;Action;Sony Pictures;2008
The Dark Knight;Action;Warner Bros.;2008
The Spirit;Action;Lionsgate;2008
Red Cliff;Action;Magnolia Pictures;2009
Der Baader Meinhof Komplex;Action;Vitagraph Films;2009
BLUE;Action;Viva Entertainment;2009
Blood: The Last Vampire;Action;Samuel Goldwyn Films;2009
Outlander;Action;Third Rail;2009
Ong-Bak 2;Action;Magnolia Pictures;2009
Chocolate;Action;Magnolia Pictures;2009
Max Payne;Action;20th Century Fox;2008
Mutant Chronicles;Action;Magnolia Pictures;2009
Break;Action;Cinema Epoch;2009
Avatar;Action;20th Century Fox;2009
Iron Man 2;Action;Paramount Pictures;2010
The Karate Kid;Action;Sony Pictures;2010
Clash of the Titans;Action;Warner Bros.;2010
Robin Hood;Action;Universal;2010
The Expendables;Action;Lionsgate;2010
The Book of Eli;Action;Warner Bros.;2010
Prince of Persia: Sands of Time;Action;Walt Disney;2010
Red;Action;Summit Entertainment;2010
Unstoppable;Action;20th Century Fox;2010
The A-Team;Action;20th Century Fox;2010
Knight and Day;Action;20th Century Fox;2010
Predators;Action;20th Century Fox;2010
Killers;Action;Lionsgate;2010
Machete;Action;20th Century Fox;2010
The Losers;Action;Warner Bros.;2010
Faster;Action;CBS Films;2010
Repo Men;Action;Universal;2010
Jonah Hex;Action;Warner Bros.;2010
2012;Action;Sony Pictures;2009
Robot;Action;B4U Movies;2010
Ninja Assassin;Action;Warner Bros.;2009
Veer;Action;Eros Entertainment;2010
The Boondock Saints 2: All Saints Day;Action;Apparition;2009
Once Upon a Time in Mumbai;Action;Viva Entertainment;2010
Tau ming chong;Action;;2010
Joheunnom nabbeunnom isanghannom;Action;;2010
Centurion;Action;Magnolia Pictures;2010
Red Cliff;Action;Magnolia Pictures;2009
God of Vampires;Action;Nocturnal Features;2010
Valhalla Rising;Action;IFC Films;2010
The Korean;Action;Indican Pictures;2010
Bitch Slap;Action;Freestyle Releasing;2010
Jerusalema;Action;Anchor Bay Entertainment;2010
Transformers: Dark of the Moon;Action;Paramount Pictures;2011
Fast Five;Action;Universal;2011
Thor;Action;Paramount Pictures;2011
Captain America: The First Avenger;Action;Paramount Pictures;2011
X-Men: First Class;Action;20th Century Fox;2011
Mission: Impossible—Ghost Protocol;Action;Paramount Pictures;2011
Sherlock Holmes: A Game of Shadows;Action;Warner Bros.;2011
Green Lantern;Action;Warner Bros.;2011
Cowboys and Aliens;Action;Universal;2011
The Green Hornet;Action;Sony Pictures;2011
Real Steel;Action;Walt Disney;2011
Battle: Los Angeles;Action;Sony Pictures;2011
Immortals;Action;Relativity;2011
Sucker Punch;Action;Warner Bros.;2011
Drive;Action;FilmDistrict;2011
The Mechanic;Action;CBS Films;2011
Killer Elite;Action;Open Road;2011
Season of the Witch;Action;Relativity;2011
Sanctum;Action;Universal;2011
Conan the Barbarian;Action;Lionsgate;2011
The Eagle;Action;Focus Features;2011
The Darkest Hour;Action;Summit Entertainment;2011
Drive Angry;Action;Summit Entertainment;2011
Don 2;Action;Reliance Big Pictures;2011
Ra. One;Action;Eros Entertainment;2011
Unstoppable;Action;20th Century Fox;2010
Bodyguard;Action;Reliance Big Pictures;2011
Salvando al Soldado Perez;Action;Lionsgate;2011
Attack the Block;Action;Sony Pictures;2011
Red;Action;Summit Entertainment;2010
Jûsan-nin no shikaku;Action;Magnolia Pictures;2011
Hobo with a Shotgun;Action;Magnolia Pictures;2011
Metropolis;Action;Paramount Pictures;1927
Faster;Action;CBS Films;2010
Ip Man: Legend of the Grand Master;Action;Variance Films;2011
Bellflower;Action;Oscilloscope Pictures;2011
Game;Action;Eros Entertainment;2011
Tropa de Elite 2: O Inimigo Agora É Outro;Action;Variance Films;2011
Su Qi Er;Action;Indomina Releasing;2011
Shaolin;Action;Variance Films;2011
Gekijouban Trigun: Badlands Rumble;Action;Eleven Arts;2011
Jing mo fung wan: Chen Zhen;Action;Variance Films;2011
Choi-jong-byeong-gi-hwal;Action;CJ Entertainment;2011
Bay Rong;Action;Variance Films;2011
Bonnie & Clyde vs. Dracula;Action;Indican Pictures;2011
Ong Bak 3;Action;Magnet Pictures;2011
Saheb Biwi Aur Gangster;Action;UTV Communications;2011
The Heir Apparent: Largo Winch;Action;Music Box Films;2011
Blood Ties;Action;Afterlight Pictures;2011
The Avengers;Action;Walt Disney;2012
The Dark Knight Rises;Action;Warner Bros.;2012
Skyfall;Action;Sony Pictures;2012
The Expendables 2;Action;Lionsgate;2012
Act of Valor;Action;Relativity;2012
Mission: Impossible—Ghost Protocol;Action;Paramount Pictures;2011
Contraband;Action;Universal;2012
Looper;Action;Sony Pictures;2012
Battleship;Action;Universal;2012
Underworld: Awakening;Action;Sony Pictures;2012
Total Recall;Action;Sony Pictures;2012
Ghost Rider: Spirit of Vengeance;Action;Sony Pictures;2012
Sherlock Holmes: A Game of Shadows;Action;Warner Bros.;2011
Red Tails;Action;20th Century Fox;2012
Red Dawn;Action;Open Road;2012
Safe;Action;Lionsgate;2012
The Man with the Iron Fists;Action;Universal;2012
Dredd;Action;Lionsgate;2012
The Darkest Hour;Action;Summit Entertainment;2011
For Greater Glory: The True Story of Cristiada;Action;ARC Entertainment;2012
Serbuan maut;Action;Sony Pictures Classics;2012
Agneepath;Action;Eros Entertainment;2012
Real Steel;Action;Walt Disney;2011
Immortals;Action;Relativity;2011
Dodookdeul;Action;Well Go USA;2012
Don 2;Action;Reliance Big Pictures;2011
Seeking Justice;Action;Anchor Bay Entertainment;2012
Stolen;Action;Alchemy;2012
Drive;Action;FilmDistrict;2011
Thaandavam;Action;UTV Communications;2012
Tai Chi Zero;Action;Variance Films;2012
Vettai;Action;UTV Communications;2012
Long men fei jia;Action;Indomina Releasing;2012
Mugamoodi;Action;UTV Communications;2012
Paan Singh Tomar;Action;UTV Communications;2012
Hua Pi 2;Action;Well Go USA;2012
Sacrifice;Action;Alchemy;2011
Tropa de Elite 2: O Inimigo Agora É Outro;Action;Variance Films;2011
Wu Xia;Action;Weinstein Co.;2012
Total Recall;Action;Sony Pictures;1990
Forces spéciales;Action;Entertainment One;2012
Arjun The Warrior Prince;Action;UTV Communications;2011
BRO';Action;;2012
Universal Soldier: Day of Reckoning;Action;Magnet Pictures;2012
Tomorrow When the War Began;Action;Freestyle Releasing;2012
The Heir Apparent: Largo Winch;Action;Music Box Films;2011
Iron Man 3;Action;Walt Disney;2013
Man of Steel;Action;Warner Bros.;2013
Fast and Furious 6;Action;Universal;2013
Thor: The Dark World;Action;Walt Disney;2013
World War Z;Action;Fox;2013
The Wolverine;Action;Fox;2013
G.I. Joe: Retaliation;Action;Paramount Pictures;2013
Pacific Rim;Action;Warner Bros.;2013
Elysium;Action;Sony Pictures;2013
2 Guns;Action;Universal;2013
A Good Day to Die Hard;Action;20th Century Fox;2013
After Earth;Action;Sony Pictures;2013
Hansel & Gretel: Witch Hunters;Action;Paramount Pictures;2013
RED 2;Action;Lionsgate;2013
Pain & Gain;Action;Roadside Attractions;2013
Gangster Squad;Action;Warner Bros.;2013
Riddick;Action;Universal;2013
R.I.P.D.;Action;Universal;2013
47 Ronin;Action;Universal;2013
Kick-Ass 2;Action;Universal;2013
Homefront;Action;Open Road;2013
The Last Stand;Action;Lionsgate;2013
Bullet to the Head;Action;Warner Bros.;2013
Machete Kills;Action;Open Road;2013
Dhoom 3;Action;Yash Raj Films;2013
Skyfall;Action;Sony Pictures;2012
Top Gun;Action;Paramount Pictures;1986
Oldboy;Action;FilmDistrict;2013
Race 2;Action;UTV Communications;2013
Red Dawn;Action;Open Road;2012
Shootout at Wadala;Action;Eros Entertainment;2013
Lone Survivor;Action;Universal;2013
Himmatwala;Action;UTV Communications;2013
