title;genre;distributor;year
Falling for Grace;Romantic-Comedy;Slowhand Cinema;2007
Gringo Wedding;Romantic-Comedy;Self Distributed;2007
The Good Night;Romantic-Comedy;Sony Pictures;2007
American Fusion;Romantic-Comedy;Wildcat Releasing;2007
What Happens in Vegas...;Romantic-Comedy;20th Century Fox;2008
27 Dresses;Romantic-Comedy;20th Century Fox;2008
Forgetting Sarah Marshall;Romantic-Comedy;Universal;2008
Made of Honor;Romantic-Comedy;Sony Pictures;2008
Definitely, Maybe;Romantic-Comedy;Universal;2008
Leatherheads;Romantic-Comedy;Universal;2008
P.S. I Love You;Romantic-Comedy;Warner Bros.;2007
My Best Friend's Girl;Romantic-Comedy;Lionsgate;2008
Ghost Town;Romantic-Comedy;Paramount Pictures;2008
Miss Pettigrew Lives for a Day;Romantic-Comedy;Focus Features;2008
Penelope;Romantic-Comedy;Summit Entertainment;2008
Smart People;Romantic-Comedy;Miramax;2008
Enchanted;Romantic-Comedy;Walt Disney;2007
Over Her Dead Body;Romantic-Comedy;New Line;2008
Then She Found Me;Romantic-Comedy;ThinkFilm;2008
Sukkar banat;Romantic-Comedy;Roadside Attractions;2008
Bachna Ae Haseeno;Romantic-Comedy;Yash Raj Films;2008
Noah's Arc: Jumping the Broom;Romantic-Comedy;Logo Features;2008
Dan in Real Life;Romantic-Comedy;Walt Disney;2007
Kismat Konnection;Romantic-Comedy;UTV Communications;2008
Elsa & Fred;Romantic-Comedy;Mitropoulos Films;2008
The Other End of the Line;Romantic-Comedy;MGM;2008
The Perfect Holiday;Romantic-Comedy;Yari Film Group Releasing;2007
I Can't Think Straight;Romantic-Comedy;Regent Releasing;2008
Kiss the Bride;Romantic-Comedy;Regent Releasing;2008
The Hottie and the Nottie;Romantic-Comedy;Regent Releasing;2008
Antarctica;Romantic-Comedy;Regent Releasing;2008
David & Layla;Romantic-Comedy;Newroz Films;2007
Tru Loved;Romantic-Comedy;Regent Releasing;2008
Jack and Jill vs. the World;Romantic-Comedy;Lantern Lane Entertainment;2008
The Proposal;Romantic-Comedy;Walt Disney;2009
He's Just Not That Into You;Romantic-Comedy;Warner Bros.;2009
The Ugly Truth;Romantic-Comedy;Sony Pictures;2009
It's Complicated;Romantic-Comedy;Universal;2009
Ghosts of Girlfriends Past;Romantic-Comedy;Warner Bros.;2009
Confessions of a Shopaholic;Romantic-Comedy;Walt Disney;2009
All About Steve;Romantic-Comedy;20th Century Fox;2009
(500) Days of Summer;Romantic-Comedy;Fox Searchlight;2009
Did You Hear About the Morgans?;Romantic-Comedy;Sony Pictures;2009
New in Town;Romantic-Comedy;Lionsgate;2009
I Love You, Beth Cooper;Romantic-Comedy;20th Century Fox;2009
My Life in Ruins;Romantic-Comedy;Fox Searchlight;2009
Post Grad;Romantic-Comedy;20th Century Fox;2009
Whatever Works;Romantic-Comedy;Sony Pictures Classics;2009
Easy Virtue;Romantic-Comedy;Sony Pictures Classics;2009
Love Aaj Kal;Romantic-Comedy;Eros Entertainment;2009
Kambakkht Ishq;Romantic-Comedy;Eros Entertainment;2009
Management;Romantic-Comedy;Samuel Goldwyn Films;2009
Un baiser s'il vous plaît;Romantic-Comedy;Music Box Films;2009
White On Rice;Romantic-Comedy;Variance Films;2009
The Answer Man;Romantic-Comedy;Magnolia Pictures;2009
I Hate Valentine's Day;Romantic-Comedy;IFC Films;2009
The Bride & The Grooms;Romantic-Comedy;Sumbadhat Productions;2009
Waiting for Dublin;Romantic-Comedy;Cinema Libre;2009
Antarctica;Romantic-Comedy;Regent Releasing;2008
Tru Loved;Romantic-Comedy;Regent Releasing;2008
I Can't Think Straight;Romantic-Comedy;Regent Releasing;2008
Valentine's Day;Romantic-Comedy;Warner Bros.;2010
The Bounty Hunter;Romantic-Comedy;Sony Pictures;2010
It's Complicated;Romantic-Comedy;Universal;2009
Life as We Know It;Romantic-Comedy;Warner Bros.;2010
The Back-up Plan;Romantic-Comedy;CBS Films;2010
When in Rome;Romantic-Comedy;Walt Disney;2010
She's Out of My League;Romantic-Comedy;Paramount Pictures;2010
The Switch;Romantic-Comedy;Miramax;2010
Leap Year;Romantic-Comedy;Universal;2010
How Do You Know?;Romantic-Comedy;Sony Pictures;2010
Just Wright;Romantic-Comedy;Fox Searchlight;2010
Going the Distance;Romantic-Comedy;Warner Bros.;2010
Did You Hear About the Morgans?;Romantic-Comedy;Sony Pictures;2009
Greenberg;Romantic-Comedy;Focus Features;2010
Flipped;Romantic-Comedy;Warner Bros.;2010
Housefull;Romantic-Comedy;Eros Entertainment;2010
I Hate Luv Storys;Romantic-Comedy;UTV Communications;2010
Aisha;Romantic-Comedy;Viva Entertainment;2010
Fei Cheng Wu Rao 2;Romantic-Comedy;China Lion Film Distribution;2010
De Mai Tinh;Romantic-Comedy;Variance Films;2010
The Good Guy;Romantic-Comedy;Roadside Attractions;2010
Feed the Fish;Romantic-Comedy;Strand;2010
The People I've Slept With;Romantic-Comedy;People Pictures;2010
16 to Life;Romantic-Comedy;Waterdog Films;2010
The Freebie;Romantic-Comedy;Phase 4 Films;2010
BearCity;Romantic-Comedy;TLA Releasing;2010
Speed-Dating;Romantic-Comedy;Rockstone Releasing;2010
White On Rice;Romantic-Comedy;Variance Films;2009
Un baiser s'il vous plaît;Romantic-Comedy;Music Box Films;2009
Tru Loved;Romantic-Comedy;Regent Releasing;2008
Just Go With It;Romantic-Comedy;Sony Pictures;2011
