title;genre;distributor;year
Shark Tale;Adventure;Dreamworks SKG;2004
Alien Adventure;Adventure;nWave Pictures;2000
The New World;Adventure;New Line;2005
Young Black Stallion;Adventure;Walt Disney;2003
Santa vs. The Snowman;Adventure;IMAX Films;2002
Pirates of the Caribbean: Dead Man's Chest;Adventure;Walt Disney;2006
Cars;Adventure;Walt Disney;2006
Superman Returns;Adventure;Warner Bros.;2006
Ice Age: The Meltdown;Adventure;20th Century Fox;2006
Happy Feet;Adventure;Warner Bros.;2006
Over the Hedge;Adventure;Paramount Pictures;2006
Night at the Museum;Adventure;20th Century Fox;2006
Open Season;Adventure;Sony Pictures;2006
The Santa Clause 3: The Escape Clause;Adventure;Walt Disney;2006
The Pink Panther;Adventure;Sony Pictures;2006
Eight Below;Adventure;Walt Disney;2006
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;Adventure;Walt Disney;2005
Monster House;Adventure;Sony Pictures;2006
Barnyard: The Original Party Animals;Adventure;Paramount Pictures;2006
R.V.;Adventure;Sony Pictures;2006
Flushed Away;Adventure;Paramount Pictures;2006
Poseidon;Adventure;Warner Bros.;2006
Curious George;Adventure;Universal;2006
Eragon;Adventure;20th Century Fox;2006
Hoodwinked;Adventure;Weinstein Co.;2006
King Kong;Adventure;Universal;2005
Nanny McPhee;Adventure;Universal;2006
The Wild;Adventure;Walt Disney;2006
Cheaper by the Dozen 2;Adventure;20th Century Fox;2005
Garfield: A Tail of Two Kitties;Adventure;20th Century Fox;2006
The Ant Bully;Adventure;Warner Bros.;2006
Unaccompanied Minors;Adventure;Warner Bros.;2006
Harry Potter and the Goblet of Fire;Adventure;Warner Bros.;2005
Everyone's Hero;Adventure;20th Century Fox;2006
The New World;Adventure;New Line;2005
Zoom;Adventure;Sony Pictures;2006
Hoot;Adventure;New Line;2006
Doogal;Adventure;Weinstein Co.;2006
The Polar Express;Adventure;Warner Bros.;2004
Chicken Little;Adventure;Walt Disney;2005
Santa vs. The Snowman;Adventure;IMAX Films;2002
The Celestine Prophecy;Adventure;Ram Entertainment;2006
T-Rex: Back to the Cretaceous;Adventure;IMAX Films;1998
Lassie;Adventure;IDP/Goldwyn/Roadside;2006
Haunted Castle;Adventure;nWave Pictures;2001
Romeo & Juliet: Sealed with a Kiss;Adventure;Indican Pictures;2006
Kaptein Sabeltann;Adventure;Indican Pictures;2006
Wallace & Gromit: The Curse of the Were-Rabbit;Adventure;Dreamworks SKG;2005
Alien Adventure;Adventure;nWave Pictures;2000
Spider-Man 3;Adventure;Sony Pictures;2007
Shrek the Third;Adventure;Paramount Pictures;2007
Pirates of the Caribbean: At World's End;Adventure;Walt Disney;2007
Harry Potter and the Order of the Phoenix;Adventure;Warner Bros.;2007
Ratatouille;Adventure;Walt Disney;2007
The Simpsons Movie;Adventure;20th Century Fox;2007
National Treasure: Book of Secrets;Adventure;Walt Disney;2007
Alvin and the Chipmunks;Adventure;20th Century Fox;2007
Night at the Museum;Adventure;20th Century Fox;2006
Bee Movie;Adventure;Paramount Pictures;2007
Ocean's Thirteen;Adventure;Warner Bros.;2007
Meet the Robinsons;Adventure;Walt Disney;2007
Beowulf;Adventure;Paramount Pictures;2007
The Golden Compass;Adventure;New Line;2007
Surf's Up;Adventure;Sony Pictures;2007
Underdog;Adventure;Walt Disney;2007
Stardust;Adventure;Paramount Pictures;2007
Mr. Bean's Holiday;Adventure;Universal;2007
The Water Horse: Legend of the Deep;Adventure;Sony Pictures;2007
Happy Feet;Adventure;Warner Bros.;2006
The Last Mimzy;Adventure;New Line;2007
Eragon;Adventure;20th Century Fox;2006
Happily N'Ever After;Adventure;Lionsgate;2007
Arthur et les Minimoys;Adventure;Weinstein Co.;2007
The Darjeeling Limited;Adventure;Fox Searchlight;2007
The Seeker: The Dark is Rising;Adventure;20th Century Fox;2007
Flushed Away;Adventure;Paramount Pictures;2006
The Polar Express;Adventure;Warner Bros.;2004
Santa vs. The Snowman;Adventure;IMAX Films;2002
Unaccompanied Minors;Adventure;Warner Bros.;2006
The Ten Commandments;Adventure;Rocky Mountain Pictures;2007
The Santa Clause 3: The Escape Clause;Adventure;Walt Disney;2006
T-Rex: Back to the Cretaceous;Adventure;IMAX Films;1998
Haunted Castle;Adventure;nWave Pictures;2001
Romeo & Juliet: Sealed with a Kiss;Adventure;Indican Pictures;2006
Passage to Zarahemla;Adventure;Somerset Films;2007
Dus Kahaniyaan;Adventure;Eros Entertainment;2007
The Holy Mountain;Adventure;Abkco Films;1973
Iron Man;Adventure;Regal Entertainment;2008
Indiana Jones and the Kingdom of the Crystal Skull;Adventure;Paramount Pictures;2008
WALL-E;Adventure;Walt Disney;2008
Kung Fu Panda;Adventure;Paramount Pictures;2008
Madagascar: Escape 2 Africa;Adventure;Paramount Pictures;2008
Horton Hears a Who;Adventure;20th Century Fox;2008
The Chronicles of Narnia: Prince Caspian;Adventure;Walt Disney;2008
The Incredible Hulk;Adventure;Universal;2008
Bolt;Adventure;Walt Disney;2008
The Mummy: Tomb of the Dragon Emperor;Adventure;Universal;2008
Journey to the Center of the Earth;Adventure;Warner Bros.;2008
10,000 B.C.;Adventure;Warner Bros.;2008
Beverly Hills Chihuahua;Adventure;Walt Disney;2008
Bedtime Stories;Adventure;Walt Disney;2008
Jumper;Adventure;20th Century Fox;2008
The Day the Earth Stood Still;Adventure;20th Century Fox;2008
The Spiderwick Chronicles;Adventure;Paramount Pictures;2008
Fool's Gold;Adventure;Warner Bros.;2008
Alvin and the Chipmunks;Adventure;20th Century Fox;2007
National Treasure: Book of Secrets;Adventure;Walt Disney;2007
Nim's Island;Adventure;20th Century Fox;2008
College Road Trip;Adventure;Walt Disney;2008
The Sisterhood of the Traveling Pants 2;Adventure;Warner Bros.;2008
The Tale of Despereaux;Adventure;Universal;2008
