title;genre;distributor;year
Chelsea Walls;Drama;Lionsgate;2002
Harvard Man;Drama;;2002
La baie des anges;Drama;Pathe Contemporary Films;1963
Ciao America;Drama;;2002
Children on Their Birthdays;Drama;Artisan;2002
O Fantasma;Drama;;2002
Ivan's XTC;Drama;;2002
Plata quemada;Drama;Strand;2001
Astoria;Drama;Distributor Unknown;2002
An American Rhapsody;Drama;Paramount Vantage;2001
Focus;Drama;Paramount Vantage;2001
Innocence;Drama;IDP Distribution;2001
Love Liza;Drama;;2002
Les enfants du siècle;Drama;Empire Pictures;2002
Quai des Orfevres;Drama;;2002
The Calling;Drama;Testimony Pictures;2002
Agni Varsha;Drama;Cinebella Entertainment;2002
Abril Despedaçado;Drama;Miramax;2001
Gabriela;Drama;Power Point Films;2001
The Isle;Drama;;2002
Scarlet Diva;Drama;;2002
Aberdeen;Drama;First Run Features;2001
Sonny;Drama;;2002
Dayereh;Drama;WinStar Cinema;2001
The Farewell;Drama;;2002
Bobby G. Can't Swim;Drama;;2002
Riri Shushu no subete;Drama;Cowboy Pictures;2002
Ikiru;Drama;;1956
Our Lady of the Assassins;Drama;Paramount Vantage;2001
Smokers Only;Drama;;2002
Buddha Heads;Drama;Pathfinder;2002
Under the Sand;Drama;WellSpring;2001
My First Mister;Drama;Paramount Vantage;2001
The Affair of the Necklace;Drama;Warner Bros.;2001
L.I.E.;Drama;Lot 47 Films;2001
Sia, The Dream of the Python;Drama;ArtMattan Films;2002
Cleopatra's Second Husband;Drama;Indican Pictures;2000
Takhté siah;Drama;Leisure Time Features;2002
Caravaggio;Drama;Cinevista;1986
Take Care of My Cat;Drama;;2002
Tattoo Bar;Drama;ArtMattan Films;2002
Ash Wednesday;Drama;Focus Features;2002
By Hook or by Crook;Drama;Artistic License;2002
Otomo;Drama;ArtMattan Films;2001
The Lonely Affair of the Heart;Drama;;2002
Adanggaman;Drama;New Yorker;2001
‘R Xmas;Drama;Pathfinder;2002
Seabiscuit;Drama;Universal;2003
Catch Me if You Can;Drama;Dreamworks SKG;2002
Mystic River;Drama;Warner Bros.;2003
About Schmidt;Drama;New Line;2002
Radio;Drama;Sony Pictures;2003
Mona Lisa Smile;Drama;Sony Pictures;2003
Cold Mountain;Drama;Miramax;2003
Secondhand Lions;Drama;New Line;2003
The Hours;Drama;Paramount Pictures;2002
Lost in Translation;Drama;Focus Features;2003
The Pianist;Drama;Focus Features;2002
Gangs of New York;Drama;Miramax;2002
Honey;Drama;Universal;2003
Whale Rider;Drama;Newmarket Films;2003
Confessions of a Dangerous Mind;Drama;Miramax;2002
Antwone Fisher;Drama;Fox Searchlight;2002
How to Deal;Drama;New Line;2003
Gods and Generals;Drama;Warner Bros.;2003
The Quiet American;Drama;Miramax;2002
25th Hour;Drama;Walt Disney;2002
Confidence;Drama;Lionsgate;2003
Big Fish;Drama;Sony Pictures;2003
Dirty Pretty Things;Drama;Miramax;2003
21 Grams;Drama;Focus Features;2003
Hable con ella;Drama;Sony Pictures Classics;2002
Nowhere in Africa;Drama;Zeitgeist;2003
American Splendor;Drama;Fine Line;2003
Luther;Drama;RS Entertainment;2003
House of Sand and Fog;Drama;Dreamworks SKG;2003
The Human Stain;Drama;Miramax;2003
